# time,voltage,current
1630200600000.0,0.27,0.0
1630204200000.0,0.3,0.0
1630207800000.0,0.3,0.0
1630211400000.0,0.77,0.0
1630215000000.0,117.28,0.0
1630218600000.0,293.57,0.39
1630222200000.0,313.33,0.98
1630225800000.0,318.49,2.08
1630229400000.0,303.5,4.66
1630233000000.0,299.84,5.38
1630236600000.0,295.72,5.65
1630240200000.0,297.55,5.49
1630243800000.0,298.35,4.88
1630247400000.0,298.08,3.69
1630251000000.0,308.44,3.02
1630254600000.0,310.06,1.73
1630258200000.0,308.23,0.63
1630261800000.0,286.54,0.37
1630265400000.0,184.32,0.0
1630269000000.0,3.63,0.0
1630272600000.0,0.55,0.0
1630276200000.0,0.56,0.0
1630279800000.0,0.59,0.0
1630283400000.0,0.42,0.0
1630287000000.0,0.56,0.0
1630290600000.0,0.41,0.0
1630294200000.0,0.24,0.0
1630297800000.0,1.13,0.0
1630301400000.0,127.63,0.0
1630305000000.0,292.3,0.36
1630308600000.0,311.69,0.92
1630312200000.0,314.53,2.92
1630315800000.0,312.28,4.42
1630319400000.0,310.53,2.31
1630323000000.0,312.49,1.71
1630326600000.0,312.61,1.89
1630330200000.0,308.46,1.58
1630333800000.0,312.75,2.9
1630337400000.0,312.8,1.82
1630341000000.0,311.64,1.64
1630344600000.0,306.84,0.92
1630348200000.0,291.92,0.4
1630351800000.0,198.03,0.0
1630355400000.0,3.23,0.0
1630359000000.0,1.36,0.0
1630362600000.0,0.98,0.0
1630366200000.0,0.46,0.0
1630369800000.0,0.4,0.0
1630373400000.0,0.43,0.0
1630377000000.0,0.5,0.0
1630380600000.0,0.51,0.0
1630384200000.0,0.98,0.0
1630387800000.0,63.5,0.0
1630391400000.0,276.69,0.25
1630395000000.0,298.97,0.55
1630398600000.0,309.44,1.04
1630402200000.0,312.66,1.86
1630405800000.0,311.82,2.2
1630409400000.0,312.27,1.54
1630413000000.0,309.4,1.43
1630416600000.0,311.43,1.56
1630420200000.0,311.5,1.6
1630423800000.0,313.72,1.84
1630427400000.0,314.1,1.44
1630431000000.0,304.19,0.76
1630434600000.0,278.31,0.24
1630438200000.0,174.64,0.0
1630441800000.0,2.32,0.0
1630445400000.0,1.3,0.0
1630449000000.0,1.02,0.0
1630452600000.0,0.49,0.0
1630456200000.0,0.51,0.0
1630459800000.0,0.45,0.0
1630463400000.0,0.45,0.0
1630467000000.0,0.48,0.0
1630470600000.0,0.98,0.0
1630474200000.0,43.75,0.0
1630477800000.0,229.36,0.0
1630481400000.0,282.72,0.21
1630485000000.0,293.33,0.31
1630488600000.0,272.97,0.5
1630492200000.0,280.44,0.79
1630495800000.0,308.11,1.03
1630499400000.0,315.01,1.48
1630503000000.0,315.11,2.01
1630506600000.0,314.99,1.97
1630510200000.0,313.45,1.77
1630513800000.0,312.28,1.46
1630517400000.0,304.64,0.86
1630521000000.0,282.82,0.28
1630524600000.0,149.27,0.0
1630528200000.0,1.86,0.0
1630531800000.0,1.49,0.0
1630535400000.0,1.04,0.0
1630539000000.0,0.51,0.0
1630542600000.0,0.5,0.0
1630546200000.0,0.51,0.0
1630549800000.0,0.51,0.0
1630553400000.0,0.51,0.0
1630557000000.0,0.87,0.0
1630560600000.0,45.32,0.0
1630564200000.0,242.88,0.14
1630567800000.0,298.93,0.53
1630571400000.0,308.75,1.08
1630575000000.0,313.02,1.41
1630578600000.0,313.41,2.72
1630582200000.0,314.32,2.12
1630585800000.0,313.66,1.77
1630589400000.0,315.2,2.12
1630593000000.0,313.38,1.79
1630596600000.0,313.96,1.62
1630600200000.0,314.03,1.53
1630603800000.0,305.19,0.75
1630607400000.0,276.38,0.23
1630611000000.0,134.44,0.0
1630614600000.0,1.84,0.0
1630618200000.0,1.52,0.0
1630621800000.0,1.14,0.0
1630625400000.0,0.54,0.0
1630629000000.0,0.46,0.0
1630632600000.0,0.47,0.0
1630636200000.0,0.5,0.0
1630639800000.0,0.51,0.0
1630643400000.0,0.88,0.0
1630647000000.0,46.5,0.0
1630650600000.0,241.46,0.17
1630654200000.0,300.17,0.57
1630657800000.0,305.67,0.89
1630661400000.0,310.47,1.8
1630665000000.0,310.97,2.11
1630668600000.0,311.52,2.11
1630672200000.0,311.31,1.79
1630675800000.0,309.54,1.74
1630679400000.0,310.24,1.72
1630683000000.0,298.72,0.82
1630686600000.0,303.11,0.69
1630690200000.0,292.44,0.44
1630693800000.0,265.92,0.14
1630697400000.0,113.27,0.0
1630701000000.0,1.52,0.0
1630704600000.0,1.27,0.0
1630708200000.0,0.93,0.0
1630711800000.0,0.31,0.0
1630715400000.0,0.35,0.0
1630719000000.0,0.44,0.0
1630722600000.0,0.45,0.0
1630726200000.0,0.29,0.0
1630729800000.0,0.78,0.0
1630733400000.0,55.48,0.0
1630737000000.0,292.57,0.35
1630740600000.0,297.89,0.48
1630744200000.0,302.55,0.64
1630747800000.0,306.86,0.96
1630751400000.0,309.46,1.53
1630755000000.0,311.34,2.83
1630758600000.0,312.03,2.64
1630762200000.0,312.64,1.96
1630765800000.0,321.73,1.4
1630769400000.0,353.93,0.0
1630773000000.0,343.69,0.0
1630776600000.0,319.37,0.0
1630780200000.0,167.37,0.0
1630783800000.0,42.43,0.0
1630787400000.0,2.03,0.0
1630791000000.0,1.78,0.0
1630794600000.0,1.09,0.0
1630798200000.0,0.48,0.0
1630801800000.0,0.43,0.0
1630805400000.0,0.38,0.0
1630809000000.0,0.35,0.0
1630812600000.0,0.38,0.0
1630816200000.0,0.43,0.0
1630819800000.0,40.02,0.0
1630823400000.0,204.03,0.0
1630827000000.0,343.77,0.0
1630830600000.0,359.02,0.0
1630834200000.0,366.0,0.0
1630837800000.0,363.95,0.0
1630841400000.0,373.4,0.0
1630845000000.0,368.85,0.0
1630848600000.0,365.5,0.0
1630852200000.0,355.92,0.0
1630855800000.0,368.38,0.0
1630859400000.0,364.53,0.0
1630863000000.0,341.15,0.0
1630866600000.0,311.52,0.0
1630870200000.0,63.37,0.0
1630873800000.0,0.7,0.0
1630877400000.0,0.45,0.0
1630881000000.0,0.35,0.0
1630884600000.0,0.35,0.0
1630888200000.0,0.5,0.0
1630891800000.0,0.46,0.0
1630895400000.0,0.56,0.0
1630899000000.0,0.61,0.0
1630902600000.0,1.11,0.0
1630906200000.0,33.99,0.0
1630909800000.0,244.86,0.0
1630913400000.0,340.87,0.0
1630917000000.0,356.05,0.0
1630920600000.0,329.45,1.17
1630924200000.0,308.85,1.98
1630927800000.0,307.8,2.74
1630931400000.0,304.7,3.55
1630935000000.0,301.48,4.45
1630938600000.0,303.01,3.75
1630942200000.0,311.19,2.63
1630945800000.0,313.71,1.34
1630949400000.0,302.54,0.5
1630953000000.0,278.83,0.25
1630956600000.0,120.99,0.0
1630960200000.0,1.68,0.0
1630963800000.0,1.61,0.0
1630967400000.0,1.46,0.0
1630971000000.0,0.88,0.0
1630974600000.0,0.91,0.0
1630978200000.0,0.83,0.0
1630981800000.0,0.71,0.0
1630985400000.0,0.64,0.0
1630989000000.0,0.72,0.0
1630992600000.0,50.24,0.0
1630996200000.0,298.41,0.83
1630999800000.0,316.0,1.92
1631003400000.0,309.16,3.3
1631007000000.0,306.9,4.32
1631010600000.0,301.95,4.98
1631014200000.0,299.84,5.24
1631017800000.0,299.31,5.11
1631021400000.0,304.07,4.62
1631025000000.0,306.19,3.73
1631028600000.0,308.56,2.36
1631032200000.0,306.76,1.58
1631035800000.0,298.56,0.8
1631039400000.0,262.94,0.22
1631043000000.0,85.07,0.0
1631046600000.0,1.01,0.0
1631050200000.0,0.98,0.0
1631053800000.0,0.72,0.0
1631057400000.0,0.23,0.0
1631061000000.0,0.19,0.0
1631064600000.0,0.15,0.0
1631068200000.0,0.19,0.0
1631071800000.0,0.12,0.0
1631075400000.0,0.41,0.0
1631079000000.0,36.6,0.0
1631082600000.0,263.96,0.23
1631086200000.0,289.59,0.33
1631089800000.0,302.89,0.92
1631093400000.0,306.04,1.25
1631097000000.0,300.24,0.88
1631100600000.0,305.9,1.48
1631104200000.0,307.03,1.91
1631107800000.0,296.29,1.0
1631111400000.0,300.81,0.83
1631115000000.0,295.35,0.67
1631118600000.0,289.85,0.39
1631122200000.0,268.49,0.19
1631125800000.0,220.05,0.0
1631129400000.0,52.14,0.0
1631133000000.0,1.98,0.0
1631136600000.0,1.74,0.0
1631140200000.0,1.41,0.0
1631143800000.0,0.81,0.0
1631147400000.0,0.62,0.0
1631151000000.0,0.36,0.0
1631154600000.0,0.46,0.0
1631158200000.0,0.27,0.0
1631161800000.0,0.72,0.0
1631165400000.0,40.62,0.0
1631169000000.0,264.74,0.52
1631172600000.0,303.72,0.87
1631176200000.0,308.34,1.41
1631179800000.0,306.79,1.29
1631183400000.0,309.02,1.37
1631187000000.0,310.32,1.64
1631190600000.0,311.81,2.38
1631194200000.0,302.14,2.61
1631197800000.0,304.34,2.83
1631201400000.0,309.25,1.98
1631205000000.0,305.07,1.15
1631208600000.0,285.77,0.52
1631212200000.0,259.88,0.15
1631215800000.0,60.92,0.0
1631219400000.0,1.55,0.0
1631223000000.0,1.3,0.0
1631226600000.0,0.74,0.0
