# time,airtemp,celltemp
1630182600000.0,13.82,13.03
1630186200000.0,12.42,11.46
1630189800000.0,11.44,10.75
1630193400000.0,10.65,10.11
1630197000000.0,10.12,9.59
1630200600000.0,9.54,9.1
1630204200000.0,9.3,8.82
1630207800000.0,8.86,8.41
1630211400000.0,8.48,8.0
1630215000000.0,8.23,7.91
1630218600000.0,9.53,11.47
1630222200000.0,12.27,17.03
1630225800000.0,15.95,23.93
1630229400000.0,19.24,32.5
1630233000000.0,22.62,39.27
1630236600000.0,23.22,43.6
1630240200000.0,23.88,45.27
1630243800000.0,25.03,46.97
1630247400000.0,25.6,46.4
1630251000000.0,25.18,44.42
1630254600000.0,25.5,41.1
1630258200000.0,24.28,31.59
1630261800000.0,19.77,21.27
1630265400000.0,18.23,19.27
1630269000000.0,16.52,16.28
1630272600000.0,16.52,17.67
1630276200000.0,16.43,18.0
1630279800000.0,16.52,18.12
1630283400000.0,16.55,17.72
1630287000000.0,16.53,17.91
1630290600000.0,16.17,16.94
1630294200000.0,14.1,13.48
1630297800000.0,13.76,13.34
1630301400000.0,12.99,12.28
1630305000000.0,14.0,14.82
1630308600000.0,15.39,18.45
1630312200000.0,17.57,22.64
1630315800000.0,19.43,28.47
1630319400000.0,19.59,27.08
1630323000000.0,19.27,24.96
1630326600000.0,19.67,25.88
1630330200000.0,19.27,25.25
1630333800000.0,20.13,30.22
1630337400000.0,19.75,26.97
1630341000000.0,19.53,26.63
1630344600000.0,18.58,22.69
1630348200000.0,17.2,19.12
1630351800000.0,16.07,16.62
1630355400000.0,15.52,15.99
1630359000000.0,15.4,16.45
1630362600000.0,15.35,16.41
1630366200000.0,15.2,16.23
1630369800000.0,14.93,15.98
1630373400000.0,14.67,15.72
1630377000000.0,14.62,15.88
1630380600000.0,14.27,15.68
1630384200000.0,14.19,15.73
1630387800000.0,14.18,15.63
1630391400000.0,14.63,16.35
1630395000000.0,15.53,18.37
1630398600000.0,16.82,20.84
1630402200000.0,18.15,24.05
1630405800000.0,19.3,26.78
1630409400000.0,18.48,23.39
1630413000000.0,18.58,24.04
1630416600000.0,17.88,22.49
1630420200000.0,18.53,23.78
1630423800000.0,18.87,25.16
1630427400000.0,18.15,23.22
1630431000000.0,17.23,20.39
1630434600000.0,16.12,17.78
1630438200000.0,15.53,16.49
1630441800000.0,15.31,16.06
1630445400000.0,14.87,15.65
1630449000000.0,14.52,15.58
1630452600000.0,14.38,15.51
1630456200000.0,14.14,15.34
1630459800000.0,13.99,15.17
1630463400000.0,13.94,15.22
1630467000000.0,14.06,15.22
1630470600000.0,14.32,15.33
1630474200000.0,14.42,15.61
1630477800000.0,14.64,15.89
1630481400000.0,15.02,16.65
1630485000000.0,15.41,17.59
1630488600000.0,15.88,18.32
1630492200000.0,16.19,19.11
1630495800000.0,16.76,20.77
1630499400000.0,17.5,22.19
1630503000000.0,18.76,25.38
1630506600000.0,18.75,25.29
1630510200000.0,18.28,24.53
1630513800000.0,17.88,23.22
1630517400000.0,17.14,20.48
1630521000000.0,16.51,18.19
1630524600000.0,15.88,16.97
1630528200000.0,15.67,16.62
1630531800000.0,15.63,16.57
1630535400000.0,15.4,16.38
1630539000000.0,15.25,16.25
1630542600000.0,15.11,16.09
1630546200000.0,14.98,16.03
1630549800000.0,14.93,16.09
1630553400000.0,14.68,15.89
1630557000000.0,14.55,15.74
1630560600000.0,14.66,15.81
1630564200000.0,14.66,16.2
1630567800000.0,15.41,18.04
1630571400000.0,16.56,20.6
1630575000000.0,17.33,22.06
1630578600000.0,18.81,26.14
1630582200000.0,18.6,25.08
1630585800000.0,18.28,24.09
1630589400000.0,18.72,25.61
1630593000000.0,18.62,24.68
1630596600000.0,18.38,23.98
1630600200000.0,18.28,24.05
1630603800000.0,17.18,20.35
1630607400000.0,15.97,17.69
1630611000000.0,15.22,16.32
1630614600000.0,14.93,15.93
1630618200000.0,14.78,15.86
1630621800000.0,14.72,15.8
1630625400000.0,14.53,15.65
1630629000000.0,14.13,15.31
1630632600000.0,13.79,15.11
1630636200000.0,13.52,14.86
1630639800000.0,13.47,14.84
1630643400000.0,13.23,14.76
1630647000000.0,12.95,14.62
1630650600000.0,13.25,15.24
1630654200000.0,14.29,17.42
1630657800000.0,15.7,20.25
1630661400000.0,17.78,25.48
1630665000000.0,19.24,28.0
1630668600000.0,19.38,27.48
1630672200000.0,19.68,26.88
1630675800000.0,20.19,27.83
1630679400000.0,20.57,28.29
1630683000000.0,18.9,23.41
1630686600000.0,17.84,20.97
1630690200000.0,17.33,19.95
1630693800000.0,16.68,18.31
1630697400000.0,15.93,16.92
1630701000000.0,15.49,16.45
1630704600000.0,15.23,16.09
1630708200000.0,14.93,15.87
1630711800000.0,14.55,15.44
1630715400000.0,14.11,15.3
1630719000000.0,14.14,15.4
1630722600000.0,13.74,15.3
1630726200000.0,13.13,14.44
1630729800000.0,12.92,14.06
1630733400000.0,12.5,13.55
1630737000000.0,12.69,14.16
1630740600000.0,14.25,17.82
1630744200000.0,15.16,19.24
1630747800000.0,16.73,22.27
1630751400000.0,17.93,24.17
1630755000000.0,20.03,29.93
1630758600000.0,20.54,29.23
1630762200000.0,20.18,27.13
1630765800000.0,18.29,22.36
1630769400000.0,17.03,19.09
1630773000000.0,16.62,17.87
1630776600000.0,16.28,17.21
1630780200000.0,16.32,17.01
1630783800000.0,16.21,16.87
1630787400000.0,16.23,16.97
1630791000000.0,16.3,17.19
1630794600000.0,16.27,17.05
1630798200000.0,16.39,17.28
1630801800000.0,16.42,17.35
1630805400000.0,16.35,17.25
1630809000000.0,16.28,17.17
1630812600000.0,16.34,17.38
1630816200000.0,16.14,17.13
1630819800000.0,16.12,17.05
1630823400000.0,15.92,17.16
1630827000000.0,16.19,17.73
1630830600000.0,16.57,18.5
1630834200000.0,17.17,19.73
