# time, west PV power
1628209800000.00,0.00
1628213400000.00,0.00
1628217000000.00,0.00
1628220600000.00,0.00
1628224200000.00,0.00
1628227800000.00,141.64
1628231400000.00,334.91
1628235000000.00,894.32
1628238600000.00,1056.42
1628242200000.00,1000.96
1628245800000.00,1264.58
1628249400000.00,1512.69
1628253000000.00,1514.24
1628256600000.00,1568.17
1628260200000.00,1448.92
1628263800000.00,1114.13
1628267400000.00,917.98
1628271000000.00,376.82
1628274600000.00,100.91
1628278200000.00,29.55
1628281800000.00,0.00
1628285400000.00,0.00
1628289000000.00,0.00
1628292600000.00,0.00
1628296200000.00,0.00
1628299800000.00,0.00
1628303400000.00,0.00
1628307000000.00,0.00
1628310600000.00,0.00
1628314200000.00,4.85
1628317800000.00,104.10
1628321400000.00,593.95
1628325000000.00,896.48
1628328600000.00,694.37
1628332200000.00,917.78
1628335800000.00,1306.66
1628339400000.00,1352.30
1628343000000.00,296.05
1628346600000.00,665.58
1628350200000.00,844.00
1628353800000.00,813.07
1628357400000.00,427.15
1628361000000.00,153.85
1628364600000.00,66.85
1628368200000.00,2.46
1628371800000.00,0.00
1628375400000.00,0.00
1628379000000.00,0.00
1628382600000.00,0.00
1628386200000.00,0.00
1628389800000.00,0.00
1628393400000.00,0.00
1628397000000.00,0.00
1628400600000.00,3.05
1628404200000.00,255.62
1628407800000.00,945.39
1628411400000.00,1205.22
1628415000000.00,716.47
1628418600000.00,1019.22
1628422200000.00,1021.41
1628425800000.00,1202.49
1628429400000.00,1029.60
1628433000000.00,1408.76
1628436600000.00,808.78
1628440200000.00,525.13
1628443800000.00,360.26
1628447400000.00,242.68
1628451000000.00,67.99
1628454600000.00,2.98
1628458200000.00,0.00
1628461800000.00,0.00
1628465400000.00,0.00
1628469000000.00,0.00
1628472600000.00,0.00
1628476200000.00,0.00
1628479800000.00,0.00
1628483400000.00,0.00
1628487000000.00,43.52
1628490600000.00,167.86
1628494200000.00,401.66
1628497800000.00,726.15
1628501400000.00,934.06
1628505000000.00,1413.45
1628508600000.00,819.37
1628512200000.00,1440.83
1628515800000.00,939.11
1628519400000.00,917.00
1628523000000.00,870.26
1628526600000.00,450.01
1628530200000.00,415.23
1628533800000.00,236.59
1628537400000.00,73.42
1628541000000.00,1.35
1628544600000.00,0.00
1628548200000.00,0.00
1628551800000.00,0.00
1628555400000.00,0.00
1628559000000.00,0.00
1628562600000.00,0.00
1628566200000.00,0.00
1628569800000.00,0.00
1628573400000.00,12.88
1628577000000.00,196.48
1628580600000.00,314.52
1628584200000.00,852.15
1628587800000.00,1460.68
1628591400000.00,1349.92
1628595000000.00,777.17
1628598600000.00,1545.49
1628602200000.00,1672.44
1628605800000.00,1073.55
1628609400000.00,437.35
