# time,irradiance west
1632965400000.0,0.04
1632969000000.0,0.01
1632972600000.0,0.01
1632976200000.0,0.03
1632979800000.0,0.0
1632983400000.0,3.96
1632987000000.0,40.3
1632990600000.0,111.95
1632994200000.0,179.01
1632997800000.0,249.88
1633001400000.0,348.83
1633005000000.0,228.0
1633008600000.0,139.75
1633012200000.0,154.98
1633015800000.0,91.82
1633019400000.0,62.58
1633023000000.0,17.08
1633026600000.0,0.46
1633030200000.0,0.03
1633033800000.0,0.02
1633037400000.0,0.01
1633041000000.0,0.01
1633044600000.0,0.0
1633048200000.0,0.0
1633051800000.0,0.02
1633055400000.0,0.0
1633059000000.0,0.0
1633062600000.0,0.01
1633066200000.0,0.0
1633069800000.0,4.4
1633073400000.0,31.75
1633077000000.0,105.44
1633080600000.0,252.08
1633084200000.0,401.63
1633087800000.0,428.52
1633091400000.0,379.82
1633095000000.0,433.88
1633098600000.0,341.91
1633102200000.0,373.07
1633105800000.0,185.93
1633109400000.0,54.07
1633113000000.0,1.12
1633116600000.0,0.01
1633120200000.0,0.03
1633123800000.0,0.03
1633127400000.0,0.0
1633131000000.0,0.01
1633134600000.0,0.0
1633138200000.0,0.02
1633141800000.0,0.02
1633145400000.0,0.01
1633149000000.0,0.01
1633152600000.0,0.03
1633156200000.0,2.42
1633159800000.0,39.54
1633163400000.0,114.1
1633167000000.0,199.54
1633170600000.0,330.1
1633174200000.0,365.95
1633177800000.0,333.68
1633181400000.0,432.76
1633185000000.0,310.95
1633188600000.0,372.08
1633192200000.0,141.38
1633195800000.0,18.27
1633199400000.0,1.15
1633203000000.0,0.0
1633206600000.0,0.0
1633210200000.0,0.01
1633213800000.0,0.01
1633217400000.0,0.0
1633221000000.0,0.01
1633224600000.0,0.03
1633228200000.0,0.02
1633231800000.0,0.02
1633235400000.0,0.01
1633239000000.0,0.0
1633242600000.0,4.37
1633246200000.0,51.02
1633249800000.0,95.57
1633253400000.0,230.05
1633257000000.0,398.23
1633260600000.0,439.43
1633264200000.0,407.56
1633267800000.0,568.7
1633271400000.0,322.64
1633275000000.0,265.44
1633278600000.0,102.99
1633282200000.0,19.78
1633285800000.0,0.95
1633289400000.0,0.01
1633293000000.0,0.01
1633296600000.0,0.0
1633300200000.0,0.0
1633303800000.0,0.0
1633307400000.0,0.0
1633311000000.0,0.0
1633314600000.0,0.0
1633318200000.0,0.0
1633321800000.0,0.0
1633325400000.0,0.0
1633329000000.0,3.55
1633332600000.0,49.18
1633336200000.0,124.18
1633339800000.0,245.62
1633343400000.0,247.13
1633347000000.0,124.14
1633350600000.0,139.11
1633354200000.0,74.76
1633357800000.0,63.38
1633361400000.0,215.57
1633365000000.0,97.77
1633368600000.0,27.74
1633372200000.0,0.82
1633375800000.0,0.0
1633379400000.0,0.02
1633383000000.0,0.01
1633386600000.0,0.0
1633390200000.0,0.01
1633393800000.0,0.0
1633397400000.0,0.0
1633401000000.0,0.01
1633404600000.0,0.01
1633408200000.0,0.02
1633411800000.0,0.0
1633415400000.0,2.8
1633419000000.0,33.77
1633422600000.0,114.21
1633426200000.0,228.68
1633429800000.0,404.77
1633433400000.0,392.07
1633437000000.0,466.34
1633440600000.0,434.07
1633444200000.0,422.62
1633447800000.0,341.45
1633451400000.0,86.69
1633455000000.0,22.97
1633458600000.0,0.5
1633462200000.0,0.01
1633465800000.0,0.01
1633469400000.0,0.0
1633473000000.0,0.0
1633476600000.0,0.02
1633480200000.0,0.0
1633483800000.0,0.0
1633487400000.0,0.0
1633491000000.0,0.01
1633494600000.0,0.0
1633498200000.0,0.0
1633501800000.0,0.77
1633505400000.0,17.77
1633509000000.0,78.67
1633512600000.0,113.26
1633516200000.0,69.97
1633519800000.0,82.36
1633523400000.0,106.03
1633527000000.0,74.57
1633530600000.0,113.12
1633534200000.0,54.3
1633537800000.0,43.74
1633541400000.0,10.32
1633545000000.0,0.15
1633548600000.0,0.03
1633552200000.0,0.04
1633555800000.0,0.03
1633559400000.0,0.02
1633563000000.0,0.01
1633566600000.0,0.02
1633570200000.0,0.0
1633573800000.0,0.02
1633577400000.0,0.02
1633581000000.0,0.02
1633584600000.0,0.03
1633588200000.0,0.99
1633591800000.0,31.59
1633595400000.0,78.91
1633599000000.0,134.62
1633602600000.0,69.93
1633606200000.0,219.68
1633609800000.0,165.77
1633613400000.0,126.76
1633617000000.0,60.2
1633620600000.0,67.47
1633624200000.0,24.47
1633627800000.0,2.42
1633631400000.0,0.07
1633635000000.0,0.03
1633638600000.0,0.0
1633642200000.0,0.01
1633645800000.0,0.03
1633649400000.0,0.02
1633653000000.0,0.01
1633656600000.0,0.01
1633660200000.0,0.0
1633663800000.0,0.01
1633667400000.0,0.02
1633671000000.0,0.05
1633674600000.0,0.56
1633678200000.0,16.67
1633681800000.0,66.6
1633685400000.0,105.31
1633689000000.0,122.31
1633692600000.0,105.6
1633696200000.0,98.82
