# time,rain_mm
1634995800000.0,1.5
1634999400000.0,1.3
1635003000000.0,1.9
1635006600000.0,2.6
1635010200000.0,2.7
1635013800000.0,2.4
1635017400000.0,5.3
1635021000000.0,3.3
1635024600000.0,1.1
1635028200000.0,0.3
1635031800000.0,0.2
1635035400000.0,0.4
1635039000000.0,0.3
1635042600000.0,0.0
1635046200000.0,0.0
1635049800000.0,0.0
1635053400000.0,0.0
1635057000000.0,0.0
1635060600000.0,0.0
1635064200000.0,0.0
1635067800000.0,0.1
1635071400000.0,0.0
1635075000000.0,0.1
1635078600000.0,0.1
1635082200000.0,0.4
1635085800000.0,0.2
1635089400000.0,0.0
1635093000000.0,0.1
1635096600000.0,0.0
1635100200000.0,0.0
1635103800000.0,0.0
1635107400000.0,0.0
1635111000000.0,0.0
1635114600000.0,0.0
1635118200000.0,0.0
1635121800000.0,0.0
1635125400000.0,0.0
1635129000000.0,0.0
1635132600000.0,0.0
1635136200000.0,0.0
1635139800000.0,0.0
1635143400000.0,0.0
1635147000000.0,0.0
1635150600000.0,0.0
1635154200000.0,0.0
1635157800000.0,0.0
1635161400000.0,0.0
1635165000000.0,0.0
1635168600000.0,0.0
1635172200000.0,0.1
1635175800000.0,0.0
1635179400000.0,0.0
1635183000000.0,0.0
1635186600000.0,0.0
1635190200000.0,0.0
1635193800000.0,0.0
1635197400000.0,0.0
1635201000000.0,0.1
1635204600000.0,0.1
1635208200000.0,0.3
1635211800000.0,0.1
1635215400000.0,0.0
1635219000000.0,0.0
1635222600000.0,0.0
1635226200000.0,0.0
1635229800000.0,0.0
1635233400000.0,0.0
1635237000000.0,0.0
1635240600000.0,0.0
1635244200000.0,0.1
1635247800000.0,0.0
1635251400000.0,0.1
1635255000000.0,0.1
1635258600000.0,0.1
1635262200000.0,0.1
1635265800000.0,0.1
1635269400000.0,0.0
1635273000000.0,0.1
1635276600000.0,0.1
1635280200000.0,0.2
1635283800000.0,0.1
1635287400000.0,0.3
1635291000000.0,0.3
1635294600000.0,1.2
1635298200000.0,1.1
1635301800000.0,1.4
1635305400000.0,1.0
1635309000000.0,2.2
1635312600000.0,0.8
1635316200000.0,0.7
1635319800000.0,0.9
1635323400000.0,1.0
1635327000000.0,2.3
1635330600000.0,4.8
1635334200000.0,2.5
1635337800000.0,5.9
1635341400000.0,1.6
1635345000000.0,3.4
1635348600000.0,1.8
1635352200000.0,4.4
1635355800000.0,0.8
1635359400000.0,1.5
1635363000000.0,2.0
1635366600000.0,0.3
1635370200000.0,0.0
1635373800000.0,0.0
1635377400000.0,0.0
1635381000000.0,0.1
1635384600000.0,0.5
1635388200000.0,1.6
1635391800000.0,1.3
1635395400000.0,0.3
1635399000000.0,0.1
1635402600000.0,0.2
1635406200000.0,0.5
1635409800000.0,0.3
1635413400000.0,0.0
1635417000000.0,0.0
1635420600000.0,0.2
1635424200000.0,0.1
1635427800000.0,0.0
1635431400000.0,0.1
1635435000000.0,0.0
1635438600000.0,0.0
1635442200000.0,0.0
1635445800000.0,3.1
1635449400000.0,1.8
1635453000000.0,0.7
1635456600000.0,0.4
1635460200000.0,1.1
1635463800000.0,0.7
1635467400000.0,0.3
1635471000000.0,0.1
1635474600000.0,0.0
1635478200000.0,0.0
1635481800000.0,0.0
1635485400000.0,0.0
1635489000000.0,0.0
1635492600000.0,0.0
1635496200000.0,0.0
1635499800000.0,0.0
1635503400000.0,0.0
1635507000000.0,0.1
1635510600000.0,0.0
1635514200000.0,0.3
1635517800000.0,0.4
1635521400000.0,0.1
1635525000000.0,0.1
1635528600000.0,0.1
1635532200000.0,0.1
1635535800000.0,0.0
1635539400000.0,0.0
1635543000000.0,0.0
1635546600000.0,0.0
1635550200000.0,0.0
1635553800000.0,0.0
1635557400000.0,0.0
1635561000000.0,0.0
1635564600000.0,0.0
1635568200000.0,0.0
1635571800000.0,0.0
1635575400000.0,0.0
1635579000000.0,0.0
1635582600000.0,0.0
1635586200000.0,0.0
1635589800000.0,0.0
1635593400000.0,0.0
1635597000000.0,0.0
1635600600000.0,0.0
1635604200000.0,0.0
1635607800000.0,0.0
1635611400000.0,0.0
1635615000000.0,0.0
1635618600000.0,0.1
1635622200000.0,1.6
1635625800000.0,4.2
1635629400000.0,4.3
1635633000000.0,3.1
1635636600000.0,0.9
1635640200000.0,0.2
1635643800000.0,0.2
1635647400000.0,0.2
1635651000000.0,0.0
1635654600000.0,0.0
1635658200000.0,0.0
1635661800000.0,0.0
1635665400000.0,0.0
1635669000000.0,0.0
1635672600000.0,0.0
1635676200000.0,0.2
1635679800000.0,0.4
1635683400000.0,0.5
1635687000000.0,0.9
1635690600000.0,0.3
1635694200000.0,0.2
1635697800000.0,0.2
1635701400000.0,0.1
1635705000000.0,0.2
1635708600000.0,0.1
1635712200000.0,0.1
1635715800000.0,0.0
1635719400000.0,0.0
1635723000000.0,0.0
1635726600000.0,0.0
1635730200000.0,0.0
1635733800000.0,0.0
1635737400000.0,0.0
1635741000000.0,0.0
1635744600000.0,0.0
1635748200000.0,0.0
1635751800000.0,0.0
1635755400000.0,0.0
1635759000000.0,0.0
1635762600000.0,0.0
1635766200000.0,0.0
1635769800000.0,0.0
1635773400000.0,0.0
1635777000000.0,0.0
1635780600000.0,0.0
1635784200000.0,0.0
1635787800000.0,0.0
1635791400000.0,0.0
1635795000000.0,0.0
1635798600000.0,0.0
1635802200000.0,0.0
1635805800000.0,0.0
1635809400000.0,0.0
1635813000000.0,0.0
1635816600000.0,0.0
1635820200000.0,0.0
1635823800000.0,0.0
1635827400000.0,0.0
1635831000000.0,0.0
1635834600000.0,0.0
1635838200000.0,0.0
1635841800000.0,0.0
1635845400000.0,0.0
1635849000000.0,0.0
1635852600000.0,0.0
1635856200000.0,0.0
1635859800000.0,0.1
1635863400000.0,0.0
1635867000000.0,0.0
1635870600000.0,0.0
1635874200000.0,0.0
1635877800000.0,0.0
1635881400000.0,0.0
1635885000000.0,0.0
1635888600000.0,0.0
1635892200000.0,0.0
1635895800000.0,0.0
1635899400000.0,0.0
1635903000000.0,0.0
1635906600000.0,0.0
1635910200000.0,0.0
1635913800000.0,0.0
1635917400000.0,0.0
1635921000000.0,0.0
1635924600000.0,0.0
1635928200000.0,0.0
1635931800000.0,0.0
1635935400000.0,0.0
1635939000000.0,0.0
1635942600000.0,0.0
1635946200000.0,0.0
1635949800000.0,0.0
1635953400000.0,0.0
1635957000000.0,0.0
1635960600000.0,0.0
1635964200000.0,0.0
1635967800000.0,0.0
1635971400000.0,0.0
1635975000000.0,0.0
1635978600000.0,0.0
1635982200000.0,0.0
1635985800000.0,0.0
1635989400000.0,0.0
1635993000000.0,0.0
1635996600000.0,0.0
1636000200000.0,0.0
1636003800000.0,0.0
1636007400000.0,0.0
1636011000000.0,0.0
1636014600000.0,0.0
1636018200000.0,0.0
1636021800000.0,0.0
1636025400000.0,0.0
1636029000000.0,0.0
